,expression,numerical matches,exact matches
0,[x1*log(x1**2*(x1 + (x1**2*(x1*log(x1) + x1) + x1*sin(x1**2*(x1 + (x1*exp(exp(x1**2)) + x1)*exp(x1))))*exp(x1))*(x1*(x1**2*log(2*x1) + x1)*sin(x1*exp(x1)*exp(x1**2*(x1**2 - x1))) + 2*x1) + x1 + exp(exp(x1)))],0,99.0
0,[x1*log(x1**2*(x1 + x1**(-2))*(2*x1*(x1**3 + x1*sin(x1**2*(x1 + (x1*exp(exp(x1**2)) + x1)*exp(x1))))*exp(x1) + x1) + exp(exp(x1)))],0,99.0
0,[x1*log(x1**2*(x1**3 + x1)*(2*x1*(x1**3 + x1*sin(x1**2*(x1 + (x1*exp(exp(x1**2)) + x1)*exp(x1))))*exp(x1) + x1) + x1 + exp(exp(x1)))],0,99.0
0,[x1*(x1 + exp(x1*log(x1*(x1**2 - x1 + exp(x1*sin(exp(exp(x1*log(x1) + 2*x1))) - x1) + 1) + x1)))],0,99.0
0,[x1*(x1 + exp(x1*log(x1*(x1 + exp(x1*sin(exp(exp(x1*log(x1) + 2*x1))) - x1)) + x1)))],0,99.0
0,[x1*(x1 + exp(x1*log(x1*(x1 + exp(-x1 + sin(exp(exp(x1*log(x1) + 2*x1))))) + x1)))],0,99.0
0,[x1*(2*x1**2 + x1**2/(x1*exp(x1)*exp(x1*sin(exp(E)/(x1**2 - x1))) + x1)) + x1],0,99.0
0,[x1*(2*x1**2 + x1/(x1*exp(x1)*exp(x1*sin(exp(E)/(x1**2 - x1))) + x1)) + x1],0,99.0
0,[x1*(3*x1 + exp(x1*(-x1 - cos(x1)) + cos(exp(4*x1**3)) - 1))],0,99.0
0,[x1*(3*x1 + exp(-2*x1**2 + cos(exp(4*x1**3)) - 1))],0,99.0
0,[x1*(3*x1 + exp(x1*(-x1 - sin(x1)) - cos(x1) + cos(exp(2*x1**2))))],99,99.0
0,[x1*(x1*log(exp(x1) + cos(x1)) + x1 + sin(2*x1**4 - log(x1)))],99,99.0
0,[x1*(x1*(-x1 + exp(x1**2*sin(2*x1**2))) + x1*sin(2*x1)) + sin(x1)],99,99.0
0,[x1*(x1*sin(x1*(x1**5 + x1)) + x1) + 2*x1 - sin(x1)],99,99.0
0,[2*x1 + sin(x1*(x1**2*(x1**5 + x1) + x1) - x1)],99,99.0
0,[x1*(x1 + exp(sin(x1**2)*sin(x1**3 + x1)))],99,99.0
0,[x1*exp(sin(x1**2 + log(x1))) + x1],99,99.0
0,[x1**2*exp(x1)*sin(1) + x1],99,99.0
0,[x1**2 + exp(x1**2)*sin(x1)],99,99.0
0,[x1*(x1*exp(x1) + cos(x1))],99,99.0
0,[x1**3 + x1**2 + x1],198,99.0
0,[x1*(x1**2 + x1) + x1],198,99.0
0,[2*x1**2 + x1],99,99.0
0,[x1**2 + x1],99,99.0
0,[x1**2 - x1*sin(x1*(x1**3*exp(-x1)*exp(-x1**2*exp(x1))/(2*x1**4 - 2*x1) - x1)) + x1],0,99.0
0,[x1**2 - x1*sin(x1*(x1**2*exp(-x1)*exp(-x1**2*exp(x1))/(2*x1**4 - 2*x1) - x1)) + x1],0,99.0
0,[x1**2 - x1*sin(x1*(x1**3*exp(-x1)/((-x1 + exp(exp(x1)))*(2*x1**5 - 2*x1)) - x1)) + x1],0,99.0
0,[x1**2 + x1*(x1 + cos(x1 - log((x1*(x1*(x1**3 + x1) - x1) + x1)/x1)))],99,99.0
0,[log(x1 + exp(x1*(2*x1 + sin(x1*(x1*exp(x1**2 - 3*x1) + x1)))))],99,99.0
0,[x1*(x1 + exp(sin(x1/(x1 + exp(x1*(-2*x1 + 1/x1))))))],99,99.0
0,[x1*(x1*exp(x1 - 1) + x1 + cos(x1**2 - x1))],99,99.0
0,[x1*(x1*exp(sin(log(x1))) + x1) + x1],99,99.0
0,[x1**2 + 2*x1 + sin(x1**3 - x1)],99,99.0
0,[x1*(2*x1 + exp(x1**2 - x1))],99,99.0
0,[x1*(x1**2 + x1) + x1],99,99.0
0,[2*x1**2 + x1],99,99.0
0,[x1**2 + x1],99,99.0
0,[x1*(x1*(x1**41*cos(exp(x1*exp(x1))) + x1) + x1) + x1],0,99.0
0,[x1*(x1*(x1**40*cos(exp(x1*exp(x1))) + x1) + x1) + x1],0,99.0
0,[x1*(x1*(x1**39*cos(exp(x1*exp(x1))) + x1) + x1) + x1],0,99.0
0,[x1*(x1*(x1**38*cos(exp(x1*exp(x1))) + x1) + x1) + x1],0,99.0
0,[x1*(x1*(x1**37*cos(exp(x1*exp(x1))) + x1) + x1) + x1],0,99.0
0,[x1*(x1*(x1**36*cos(exp(x1*exp(x1))) + x1) + x1) + x1],0,99.0
0,[x1*(x1*(x1**33*cos(exp(x1*exp(x1))) + x1) + x1) + x1],0,99.0
0,[x1*(x1*(x1**32*cos(exp(x1*exp(x1))) + x1) + x1) + x1],0,99.0
0,[x1*(x1*(x1**31*cos(exp(x1*exp(x1))) + x1) + x1) + x1],0,99.0
0,[x1*(x1*(x1**30*cos(exp(x1*exp(x1))) + x1) + x1) + x1],0,99.0
0,[x1*(x1*(x1**29*cos(exp(x1*exp(x1))) + x1) + x1) + x1],0,99.0
0,[x1*(x1*(x1**28*cos(exp(x1*exp(x1))) + x1) + x1) + x1],0,99.0
0,[x1*(x1*(x1**25*sin(x1)*cos(exp(x1*exp(x1))) + x1) + x1) + x1],0,99.0
0,[x1*(x1*(x1**27*cos(exp(x1*exp(x1))) + x1) + x1) + x1],0,99.0
0,[x1*(x1*(x1**25*cos(exp(x1*exp(x1))) + x1) + x1) + x1],0,99.0
0,[x1*(x1*(x1**24*cos(exp(x1*exp(x1))) + x1) + x1) + x1],0,99.0
0,[x1*(x1*(x1**23*cos(exp(x1*exp(x1))) + x1) + x1) + x1],0,99.0
0,[x1*(x1*(x1**22*cos(exp(x1*exp(x1))) + x1) + x1) + x1],0,99.0
0,[x1*(x1*(x1**20*cos(exp(x1*exp(x1))) + x1) + x1) + x1],0,99.0
0,[x1**2 + x1 + sin(x1**2*(x1**5*(2*x1**5 - x1)*(x1**4*exp(x1) - x1) + x1))],99,99.0
0,[x1*(2*x1 + sin(exp(x1**22)))],0,99.0
0,[x1*(2*x1 + sin(exp(x1**21)))],0,99.0
0,[x1*(2*x1 + sin(exp(x1**20)))],0,99.0
0,[x1*(2*x1 + sin(exp(x1**19)))],0,99.0
0,[x1*(2*x1 + sin(exp(x1**18)))],0,99.0
0,[x1*(2*x1 + sin(exp(x1**17)))],0,99.0
0,[x1*(2*x1 + sin(exp(x1**16)))],0,99.0
0,[x1*(2*x1 + sin(exp(x1**15)))],0,99.0
0,[x1*(2*x1 + sin(exp(x1**14)))],0,99.0
0,[x1*(2*x1 + sin(exp(x1**13)))],0,99.0
0,[x1*(2*x1 + sin(exp(x1**12)))],0,99.0
0,[x1*(2*x1 + sin(exp(x1**11)))],0,99.0
0,[x1*(x1*sin(x1*exp(x1**8)) + x1) + x1],0,99.0
0,[x1*(x1*sin(x1**9 + x1) + x1) + x1],99,99.0
0,[x1*(x1*sin(x1**8 + x1) + x1) + x1],99,99.0
0,[x1*(x1*sin(x1**7 + x1) + x1) + x1],99,99.0
0,[x1*(2*x1 + (-x1 + exp(x1**2))*cos(x1**2))],99,99.0
0,[x1*(x1**3 + sin(x1**3 + x1)) + x1],99,99.0
0,[x1*exp(sin(x1))*sin(x1) + x1],99,99.0
0,[x1*(2*x1 + sin(x1**2 - x1)) + x1],99,99.0
0,[x1*(2*x1 + exp(x1**2 - x1))],99,99.0
0,[x1*(x1**2 + x1 + 1)],198,99.0
0,[x1*(x1**2 + x1) + x1],198,99.0
0,[2*x1**2 + x1],99,99.0
0,[x1**2 + x1],99,99.0
0,[x1*(x1*(x1*(-x1 + sin(exp(exp(x1))))*exp(-x1)*sin(x1**3*(x1**2 + x1)*exp(x1))/(x1*(x1**2 + x1) + x1) + x1) + x1) + x1],0,99.0
0,[x1*(x1*(x1 + (-x1 + sin(exp(exp(x1))))*exp(-2*x1)*sin(x1**3*(x1**2 + x1)*exp(x1))) + x1) + x1],0,99.0
0,[x1**2*(x1 + (x1**9*(-x1**13 + x1)*sin(exp(2*x1)) + x1)/x1) + x1],99,99.0
0,[x1*(x1*(x1**5*exp(-x1)*sin(x1**2*exp(x1))*sin(exp(exp(x1)))/(2*x1**3 + x1) + x1) + x1) + x1],0,99.0
0,[x1*(x1*(x1**2*exp(-2*x1)*sin(x1**2*exp(x1**2))*sin(exp(exp(x1))) + x1) + x1) + x1],0,99.0
0,[x1*(x1*(x1**2*exp(-x1)*sin(exp(x1))*sin(exp(exp(x1)))/2 + x1) + x1) + x1],0,99.0
0,[x1*(x1*(x1**4*exp(-x1)*sin(exp(exp(x1)))/(2*x1**3 + x1) + x1) + x1) + x1],0,99.0
0,[x1**3 + x1 + sin(x1**2*exp(x1**11*log(2*x1**3)))],0,99.0
