,expression,numerical matches,exact matches
0,[log(x1 + exp(x1*sin((2*x1**2 + x1)/x1))/(3*x1**2))],10,10.0
0,[log(x1 + exp(x1*sin((2*x1**2 + x1)/x1))/(2*x1**2))],10,10.0
0,[log(x1 + exp(x1*sin((2*x1**2 + x1)/x1))/x1**2)],10,10.0
0,[exp(-log(x1*log(x1) - log(x1**2))*sin(x1 - exp(x1)))],0,10.0
0,[exp(-log(x1*log(x1) - log(x1))*sin(x1 - exp(x1)))],10,10.0
0,[exp(-log(x1*log(x1))*sin(x1 - exp(x1)))],10,10.0
0,[exp(log(x1*log(x1))*sin(exp(x1)))],10,10.0
0,[exp(log(x1)*cos(x1**2)**2)],10,10.0
0,[x1*cos(x1**2)*cos(2*x1**2)],10,10.0
0,[exp(log(x1)*cos(x1**2))],10,10.0
0,[x1*sin(exp(x1)) - cos(x1)],10,10.0
0,[x1*sin(exp(x1))],10,10.0
0,[x1/2],10,10.0
0,[log(x1**2)],10,10.0
0,[2],10,10.0
0,[0],10,10.0
